"","gene","term","estimate","statistic","p.value","lod","fdr"
"63","204244_s_at","sensitive",-0.929746303003556,-8.97587537597354,7.6636462146355e-06,4.1606830316477,0.00656494481489857
"64","219990_at","sensitive",-1.30386951387261,-8.97292754080595,7.68461761597638e-06,4.15827445934253,0.00656494481489857
"65","206316_s_at","sensitive",-0.897539411091829,-8.93672662571252,7.94736036512933e-06,4.12862166033425,0.00668495273789918
"66","204531_s_at","sensitive",-0.971413133169778,-8.8977975318457,8.24095763927221e-06,4.09658022621808,0.00682688422616982
"67","210559_s_at","sensitive",-1.25793293340277,-8.85112686949871,8.60873732311092e-06,4.05795539843132,0.00701658991458238
"68","218726_at","sensitive",-0.911944036086036,-8.82410841760438,8.82986022456061e-06,4.0354888168083,0.00701658991458238
"69","236312_at","sensitive",-0.840317426106121,-8.82108907285432,8.85495572210671e-06,4.03297330216793,0.00701658991458238
"70","211762_s_at","sensitive",-0.879705141921801,-8.79965126936017,9.03540494166368e-06,4.01508467756513,0.0070572966455066
"71","204641_at","sensitive",-1.23325785384728,-8.77558102516348,9.24283637877555e-06,3.99494060358321,0.00710239484340068
"72","216228_s_at","sensitive",-1.07988062313707,-8.74809091742016,9.48615485282832e-06,3.97185809639535,0.00710239484340068
"73","232596_at","sensitive",-0.838549022419454,-8.7214192121093,9.72896319109951e-06,3.94938461572139,0.00710239484340068
"74","214710_s_at","sensitive",-1.29415486972236,-8.72128946721905,9.73016087841782e-06,3.94927510451525,0.00710239484340068
"75","201477_s_at","sensitive",-0.968064527733062,-8.71993712577934,9.74265410617377e-06,3.94813355151613,0.00710239484340068
"76","220239_at","sensitive",-0.774848802344686,-8.69354288472622,9.99004828741443e-06,3.92581352333062,0.00716265150517654
"77","228597_at","sensitive",-0.760504635839443,-8.68336100990995,1.00873189922011e-05,3.91718302611016,0.00716265150517654
"78","210052_s_at","sensitive",-1.1600446898848,-8.66157558043593,1.02989513691695e-05,3.89867890638553,0.00717567657776112
"79","230165_at","sensitive",-1.44031479540058,-8.64397108267285,1.04735289487753e-05,3.88368799774274,0.00717567657776112
"80","213253_at","sensitive",-0.866958557425929,-8.64139068040291,1.04993895970899e-05,3.88148782631175,0.00717567657776112
"81","231534_at","sensitive",-0.809760797457986,-8.60848192196573,1.08354162011172e-05,3.85336399989019,0.00726838537054569
"82","203210_s_at","sensitive",-0.757647918659345,-8.60219762537112,1.09009163307681e-05,3.8479798553991,0.00726838537054569
"83","203755_at","sensitive",-1.1494239587933,-8.58028992585304,1.11326753301642e-05,3.82917601235234,0.00733348221297265
"84","221729_at","sensitive",0.99554781613931,8.51459344257878,1.18606989787611e-05,3.77246749474899,0.0077200442459972
"85","222848_at","sensitive",-1.26901029030817,-8.48030504310843,1.22612856705102e-05,3.74267845355915,0.00784452995537565
"86","203418_at","sensitive",-1.38535275379314,-8.47380343415191,1.23389039993106e-05,3.73701508982944,0.00784452995537565
"87","202107_s_at","sensitive",-0.841223692158203,-8.4292289413676,1.28857847522793e-05,3.69805907079373,0.00797170096206856
"88","1553015_a_at","sensitive",-0.679325057221711,-8.41927056481483,1.30115620522771e-05,3.6893251821354,0.00797170096206856
"89","238756_at","sensitive",-0.950821066471148,-8.41468164091751,1.30699741251978e-05,3.68529672617149,0.00797170096206856
"90","232238_at","sensitive",-0.974528136737849,-8.41060227799737,1.31221415013474e-05,3.68171358719537,0.00797170096206856
