"","gene","term","estimate","statistic","p.value","lod","fdr"
"77","203362_s_at","sensitive",-0.79177113725947,-4.47191008088571,0.00041152554195206,0.11865572626041,0.0130343287952309
"78","204569_at","sensitive",-0.589935761757925,-4.38935920212358,0.000487047682860419,-0.0447431363463968,0.0143168451937599
"79","202503_s_at","sensitive",-0.778820802820136,-4.38091321228631,0.000495533186054521,-0.0614898599119185,0.0144266650412838
"80","1552619_a_at","sensitive",-0.728820496910794,-4.37189437085234,0.000504760885764207,-0.0793781298576182,0.014586575808223
"81","228273_at","sensitive",-0.752331600289435,-4.36674620949425,0.000510106677126173,-0.0895917754015763,0.0146789908273018
"82","220520_s_at","sensitive",-0.641425315357248,-4.35499600920946,0.000522525344321072,-0.112910500160522,0.0149419838916081
"83","1554768_a_at","sensitive",-0.724977369328675,-4.35256724295178,0.000525130502880666,-0.117731688441222,0.0149929557415146
"84","229490_s_at","sensitive",-0.628728105952535,-4.33369121749271,0.000545834264754847,-0.155215171918638,0.0152862634074557
"85","201577_at","sensitive",-0.760406241667178,-4.30035560698875,0.000584452849781923,-0.22147068121889,0.0159774797809133
"86","206364_at","sensitive",-0.764355118372366,-4.28367364737653,0.000604812679498164,-0.254653702632501,0.0162622175090854
"87","225834_at","sensitive",-0.961998942710997,-4.26523281347486,0.000628161416155072,-0.291355715197905,0.0166004894550673
"88","217678_at","sensitive",-0.604131753308616,-4.20916478864114,0.000704946533157076,-0.403069979039739,0.0177699177963869
"89","218355_at","sensitive",-0.731281182790007,-4.19302641863423,0.000728770835004853,-0.435258157610067,0.0180541664720844
"90","201291_s_at","sensitive",-0.853695796391495,-4.1851457982079,0.00074070053507592,-0.45098121377777,0.0182340395116055
"91","203213_at","sensitive",-0.776700432940075,-4.16922150922264,0.00076541626413145,-0.482762489666601,0.0185102142118169
"92","230165_at","sensitive",-0.858051469387644,-4.15634846441261,0.000786007860711853,-0.508463559634359,0.0188204937435503
"93","202589_at","sensitive",-0.587427043924943,-4.12911418607146,0.000831446256345829,-0.562863376577173,0.0194696037086983
"94","205583_s_at","sensitive",-0.611653378476232,-4.09490225477654,0.000892328500296152,-0.631248896884616,0.0203283586473717
"95","210559_s_at","sensitive",-0.734733096646517,-4.09261410510721,0.000896558343087552,-0.635824435390567,0.0203907351948053
"96","218349_s_at","sensitive",-0.655475866792055,-4.03681508437971,0.00100624898728014,-0.747467942988791,0.0216771723323647
"97","209642_at","sensitive",-0.806561614356545,-4.01191040837733,0.00105950751015274,-0.797333877869101,0.0222949247895231
"98","218308_at","sensitive",-0.617920599320609,-3.99263225648551,0.00110268770162427,-0.835947584413062,0.0227421539367434
"99","201292_at","sensitive",-0.769401157440424,-3.9770921621992,0.00113878940352973,-0.867081997425242,0.0231290158387772
"100","228323_at","sensitive",-0.767476365591497,-3.92380522532514,0.00127191615415387,-0.973888663463985,0.0245490324795079
"101","223700_at","sensitive",-0.602441072825023,-3.90089018346518,0.0013339038293006,-1.0198375959603,0.0252095374583512
"102","205660_at","sensitive",-0.850203696782023,-3.88187650958672,0.0013876494804742,-1.05797038733854,0.0257709698861844
"103","202705_at","sensitive",-0.743773740361091,-3.86197971285304,0.00144623526676674,-1.09787984102374,0.0264104586541321
"104","203764_at","sensitive",-0.796997221311605,-3.85589568181684,0.00146464336721377,-1.11008429010354,0.0266309863992061
"105","203418_at","sensitive",-0.781486717902803,-3.79940960792355,0.00164724828901002,-1.22340872027021,0.0285190944273663
"106","201760_s_at","sensitive",-0.66004080618335,-3.78313828368848,0.00170398931317778,-1.25605540617712,0.0290960698619598
"107","204962_s_at","sensitive",-0.765028958095784,-3.75057958328516,0.0018235079420938,-1.32138024228578,0.0300845415065542
"108","208808_s_at","sensitive",-0.791484810558154,-3.74592703623086,0.00184126268713699,-1.33071466167683,0.0302406240370126
"109","219990_at","sensitive",-0.70398524249636,-3.689388178649,0.00207144054548918,-1.44413398899433,0.0323899807482911
"110","204315_s_at","sensitive",-0.605947800988376,-3.56532198402102,0.0026829632640029,-1.69280823225919,0.0376710365843242
"111","213007_at","sensitive",-0.601440442952525,-3.5640386373883,0.00269015407031308,-1.69537822137809,0.0377161114983253
"112","228729_at","sensitive",-0.642432921370685,-3.54777261712507,0.0027829846210017,-1.72794676904681,0.0385800416210111
"113","209891_at","sensitive",-0.809525481581423,-3.51159727260028,0.00300108874749513,-1.80034060799837,0.0400499212275558
"114","204641_at","sensitive",-0.697145674779447,-3.49908346270617,0.00308044745611294,-1.82536974270896,0.0405907890431194
"115","219918_s_at","sensitive",-0.77060305414634,-3.49316644518422,0.0031186980440036,-1.83720191174136,0.0407829568422511
"116","203554_x_at","sensitive",-0.604689597278139,-3.47946976324065,0.00320907014137657,-1.86458432844019,0.041453028436581
"117","228033_at","sensitive",-0.697102316089794,-3.47726194332029,0.0032238803254056,-1.86899731354513,0.0415215593413385
"118","205394_at","sensitive",-0.637250448392595,-3.46412727584249,0.00331340951149139,-1.895245563877,0.0421794330711971
"119","213226_at","sensitive",-0.701759539763462,-3.44740923276551,0.00343096123703588,-1.92864120519482,0.0428718051645207
"120","202870_s_at","sensitive",-0.830988225561465,-3.42183953445268,0.00361884688607034,-1.97968735502146,0.0442047483234799
"121","203214_x_at","sensitive",-0.691995794353403,-3.42047174584635,0.00362918146385005,-1.98241682306192,0.0442617659014056
"122","202095_s_at","sensitive",-0.653026791797013,-3.3757547534848,0.00398373279825661,-2.07158356414986,0.0463920321074931
